data,giornata,budget,schedine,numeri,somma,jackpot,verificato
29/08/2026,Ven,2,2,"12,17,45,59,74,77",284,62575,0
30/08/2026,Sab,2,2,"1,2,3,4,5,6",21,62575,0
2026-08-30,Sunday,1.00,1,4-27-57-64-66-87,305,0
2026-08-30,Sunday,1.00,1,3-8-42-60-61-83,257,0
2026-08-30,Sunday,1.00,1,17-23-26-59-73-80,278,0
2026-08-30,Sunday,1.00,1,22-26-33-50-62-78,271,0
2026-08-30,Sunday,1.00,1,16-24-27-52-61-78,258,0
2026-08-30,Sunday,1.00,1,4-7-58-61-80-89,299,0
2026-08-30,Sunday,1.00,1,4-8-56-66-75-79,288,0
2026-08-30,Sunday,1.00,1,3-22-36-64-76-80,281,0
2026-08-30,Sunday,1.00,1,21-24-56-62-70-71,304,0
2026-08-30,Sunday,1.00,1,17-23-51-52-65-82,290,0
2026-08-30,Sunday,1.00,1,13-31-41-47-53-84,269,0
2026-08-30,Sunday,1.00,1,10-18-40-53-63-64,248,0
2026-08-30,Sunday,1.00,1,10-28-42-66-73-83,302,0
2026-08-30,Sunday,1.00,1,5-24-45-47-55-82,258,0
2026-08-30,Sunday,1.00,1,9-15-25-59-65-90,263,0
2026-08-30,Sunday,1.00,1,31-33-41-47-51-72,275,0
2026-08-30,Sunday,1.00,1,11-32-42-51-54-67,257,0
2026-08-30,Sunday,1.00,1,21-27-36-44-46-84,258,0
2026-08-30,Sunday,1.00,1,2-11-38-58-79-86,274,0
2026-08-30,Sunday,1.00,1,10-37-39-46-57-69,258,0
2026-08-30,Sunday,1.00,1,2-12-38-50-62-83,247,0
2026-08-29,Saturday,1.00,1,12-17-45-59-74-77,284,1
2026-08-29,Saturday,1.00,1,12-17-45-59-74-77,284,1
2026-08-29,Saturday,1.00,1,12-17-45-59-74-77,284,1
